parking_id,city_zone,vehicle_type,entry_time,duration_minutes,hourly_rate,total_amount,payment_mode,violation,user_type,hour,day,weekday,month
1,ZONE-A,CAR,2024-03-29 06:00:00,240.0,30.0,120.0,CARD,NO,VISITOR,6,29,Friday,March
2,ZONE-A,BIKE,2024-03-11 06:00:00,15.0,30.0,7.5,UPI,NO,REGULAR,6,11,Monday,March
5,ZONE-A,UNKNOWN,2024-02-08 13:00:00,5.0,30.0,2.5,CARD,NO,UNKNOWN,13,8,Thursday,February
6,ZONE-A,CAR,2024-05-24 18:00:00,240.0,40.0,160.0,UPI,YES,UNKNOWN,18,24,Friday,May
7,ZONE-A,EV,2024-02-18 17:00:00,240.0,20.0,80.0,CASH,NO,VISITOR,17,18,Sunday,February
8,ZONE-C,EV,2024-04-12 08:00:00,120.0,30.0,60.0,CARD,NO,VISITOR,8,12,Friday,April
9,ZONE-A,CAR,2024-06-16 13:00:00,60.0,40.0,40.0,UPI,YES,VISITOR,13,16,Sunday,June
10,ZONE-C,CAR,2024-02-02 22:00:00,30.0,30.0,15.0,CASH,NO,VISITOR,22,2,Friday,February
11,ZONE-A,CAR,2024-03-28 08:00:00,5.0,30.0,2.5,UNKNOWN,YES,VISITOR,8,28,Thursday,March
12,UNKNOWN,BIKE,2024-02-29 10:00:00,30.0,30.0,15.0,UPI,NO,VISITOR,10,29,Thursday,February
13,ZONE-A,CAR,2024-07-06 09:00:00,15.0,20.0,5.0,UPI,NO,UNKNOWN,9,6,Saturday,July
14,ZONE-A,BIKE,2024-06-18 04:00:00,60.0,20.0,20.0,UPI,NO,VISITOR,4,18,Tuesday,June
15,ZONE-B,CAR,2024-06-02 07:00:00,30.0,30.0,15.0,UPI,NO,REGULAR,7,2,Sunday,June
16,UNKNOWN,EV,2024-01-29 09:00:00,60.0,30.0,30.0,CARD,YES,VISITOR,9,29,Monday,January
17,ZONE-C,CAR,2024-07-04 06:00:00,15.0,30.0,7.5,UNKNOWN,YES,REGULAR,6,4,Thursday,July
18,UNKNOWN,EV,2024-03-22 11:00:00,5.0,30.0,2.5,UPI,NO,REGULAR,11,22,Friday,March
19,ZONE-C,CAR,2024-02-01 05:00:00,60.0,40.0,40.0,UPI,YES,VISITOR,5,1,Thursday,February
20,ZONE-A,EV,2024-01-17 18:00:00,15.0,40.0,10.0,UNKNOWN,YES,REGULAR,18,17,Wednesday,January
22,ZONE-C,CAR,2024-04-22 01:00:00,5.0,30.0,2.5,UPI,NO,UNKNOWN,1,22,Monday,April
23,ZONE-A,CAR,2024-03-30 09:00:00,60.0,30.0,30.0,UPI,NO,REGULAR,9,30,Saturday,March
24,UNKNOWN,CAR,2024-06-11 18:00:00,240.0,20.0,80.0,CARD,NO,REGULAR,18,11,Tuesday,June
25,UNKNOWN,BIKE,2024-07-01 07:00:00,15.0,20.0,5.0,UPI,YES,REGULAR,7,1,Monday,July
26,ZONE-C,EV,2024-02-02 05:00:00,15.0,20.0,5.0,CARD,YES,VISITOR,5,2,Friday,February
27,ZONE-B,UNKNOWN,2024-04-06 18:00:00,15.0,40.0,10.0,UNKNOWN,NO,REGULAR,18,6,Saturday,April
28,ZONE-A,CAR,2024-07-11 21:00:00,60.0,30.0,30.0,CARD,NO,UNKNOWN,21,11,Thursday,July
29,ZONE-A,CAR,2024-02-14 21:00:00,240.0,30.0,120.0,CASH,NO,VISITOR,21,14,Wednesday,February
30,ZONE-A,CAR,2024-06-26 00:00:00,60.0,40.0,40.0,CARD,NO,REGULAR,0,26,Wednesday,June
