parking_id,city_zone,vehicle_type,entry_time,duration_minutes,hourly_rate,total_amount,payment_mode,violation,user_type
1,Zone-A,CAR,2024-03-29 06:00:00,240,30,120.0,Card,N,Visitor
2,zone-a,Bike,2024-03-11 06:00:00,15,0,0.0,UPI,No,regular
3,Zone-C,Car,2024-06-05 15:00:00,0,40,0.0,upi,N,regular
4,Zone-A,EV,2024-06-02 05:00:00,,20,20.0,upi,No,Visitor
5,zone-a,,2024-02-08 13:00:00,5,,2.5,CARD,No,
6,Zone-A,Car,2024-05-24 18:00:00,240,40,160.0,upi,Yes,
7,Zone A,EV,2024-02-18 17:00:00,240,20,80.0,Cash,No,Visitor
8,Zone-C,EV,2024-04-12 08:00:00,120,,60.0,CARD,N,Visitor
9,Zone A,Car,2024-06-16 13:00:00,60,40,40.0,UPI,Yes,Visitor
10,Zone-C,Car,2024-02-02 22:00:00,30,30,15.0,Cash,No,Visitor
11,Zone-A,CAR,2024-03-28 08:00:00,5,30,2.5,,YES,Visitor
12,,Bike,2024-02-29 10:00:00,30,30,15.0,UPI,No,Visitor
13,Zone-A,car,2024-07-06 09:00:00,15,20,5.0,UPI,,
14,Zone-A,Bike,2024-06-18 04:00:00,60,20,20.0,upi,No,VISITOR
15,ZONE-B,CAR,2024-06-02 07:00:00,30,30,15.0,UPI,No,regular
16,,EV,2024-01-29 09:00:00,60,,30.0,Card,Y,Visitor
17,zone c,Car,2024-07-04 06:00:00,15,30,7.5,,Yes,regular
18,,EV,2024-03-22 11:00:00,5,30,2.5,UPI,No,regular
19,zone c,Car,2024-02-01 05:00:00,60,40,40.0,UPI,YES,Visitor
20,Zone A,EV,2024-01-17 18:00:00,15,40,10.0,,Yes,Regular
21,ZONE-B,car,,15,40,10.0,UPI,Yes,Visitor
22,Zone-C,car,2024-04-22 01:00:00,5,30,2.5,upi,No,
23,zone-a,Car,2024-03-30 09:00:00,60,30,30.0,UPI,No,Regular
24,,Car,2024-06-11 18:00:00,240,20,80.0,Card,No,Regular
25,,Bike,2024-07-01 07:00:00,15,20,5.0,UPI,Y,regular
26,zone c,EV,2024-02-02 05:00:00,15,20,5.0,Card,Y,Visitor
27,ZONE-B,,2024-04-06 18:00:00,15,40,10.0,,N,Regular
28,Zone-A,Car,2024-07-11 21:00:00,60,0,0.0,Card,No,
29,zone-a,Car,2024-02-14 21:00:00,240,30,120.0,Cash,No,VISITOR
30,zone-a,Car,2024-06-26 00:00:00,60,40,40.0,CARD,N,regular
31,Zone A,,2024-04-10 05:00:00,0,20,0.0,Card,Yes,regular
32,ZONE-B,EV,2024-02-14 09:00:00,15,30,7.5,Cash,No,Regular
33,ZONE-B,Car,2024-01-14 00:00:00,0,30,0.0,CARD,Yes,VISITOR
34,zone-a,Car,2024-03-06 01:00:00,60,20,20.0,Cash,N,
35,zone c,Car,2024-04-23 13:00:00,30,0,0.0,UPI,Yes,Visitor
36,Zone-C,,2024-04-02 06:00:00,30,30,15.0,CARD,Yes,regular
37,zone c,CAR,2024-07-01 10:00:00,240,20,80.0,UPI,Y,Visitor
38,zone-a,EV,2024-01-08 18:00:00,15,,7.5,,N,VISITOR
39,Zone-C,,2024-07-25 09:00:00,60,20,20.0,UPI,N,Regular
40,Zone-C,Bike,2024-02-12 20:00:00,15,40,10.0,CARD,No,VISITOR
41,Zone A,Bike,2024-07-10 01:00:00,60,,30.0,,N,regular
42,ZONE-B,Car,2024-07-13 08:00:00,30,30,15.0,,No,Visitor
43,zone c,Bike,2024-03-11 08:00:00,120,20,40.0,Cash,,Visitor
44,Zone-C,Car,2024-02-07 01:00:00,120,30,60.0,Cash,YES,Visitor
45,,EV,2024-05-24 04:00:00,30,40,20.0,,Y,regular
46,ZONE-B,Bike,2024-04-10 16:00:00,15,20,5.0,upi,No,Regular
47,zone c,EV,2024-07-19 06:00:00,-30,30,-15.0,UPI,No,Regular
48,,CAR,2024-02-15 17:00:00,60,20,20.0,CARD,Yes,regular
49,zone c,Car,2024-07-28 18:00:00,-30,40,-20.0,Cash,Yes,Regular
50,,Bike,2024-03-24 10:00:00,30,30,15.0,Card,No,Visitor
51,Zone-C,EV,2024-04-16 02:00:00,-30,40,-20.0,upi,No,Regular
52,ZONE-B,EV,2024-06-24 15:00:00,-30,20,-10.0,Card,,Regular
53,Zone A,Car,2024-04-20 21:00:00,120,40,80.0,UPI,Y,Regular
54,zone c,Car,2024-01-22 06:00:00,-30,30,-15.0,,No,Regular
55,Zone-A,car,2024-05-18 23:00:00,0,0,0.0,Cash,No,Visitor
56,ZONE-B,Bike,2024-06-30 04:00:00,120,0,0.0,,,Regular
57,zone-a,CAR,2024-07-08 15:00:00,60,30,30.0,UPI,No,Regular
58,Zone-C,EV,wrong_time,5,20,1.67,,Y,Visitor
59,,EV,2024-07-17 22:00:00,120,30,60.0,UPI,Yes,regular
60,Zone A,,2024-02-02 15:00:00,15,40,10.0,upi,Y,Regular
61,zone c,car,2024-02-17 14:00:00,120,20,40.0,UPI,No,
62,zone c,,2024-01-12 09:00:00,30,,15.0,Cash,Yes,Regular
63,Zone-C,Car,2024-02-02 06:00:00,120,20,40.0,Card,Yes,regular
64,zone-a,Bike,2024-06-26 17:00:00,60,20,20.0,UPI,Yes,Visitor
65,zone c,car,wrong_time,60,30,30.0,Cash,No,Regular
66,ZONE-B,car,2024-04-11 06:00:00,60,40,40.0,CARD,N,regular
67,Zone-C,car,,60,30,30.0,Cash,No,Regular
68,ZONE-B,Bike,2024-05-11 06:00:00,30,30,15.0,UPI,No,Visitor
69,,Bike,2024-05-17 05:00:00,60,,30.0,,Yes,Visitor
70,Zone-C,Car,2024-01-06 09:00:00,0,40,0.0,UPI,Yes,Regular
71,Zone-A,Bike,2024-06-18 00:00:00,240,40,160.0,UPI,No,Regular
72,Zone-A,Bike,,240,30,120.0,Cash,Y,Visitor
73,zone c,Bike,2024-04-28 21:00:00,30,,15.0,Card,Y,Visitor
74,Zone A,Bike,,60,40,40.0,Card,Yes,Regular
75,Zone A,EV,2024-07-11 17:00:00,120,20,40.0,CARD,N,
76,Zone-A,Bike,2024-02-13 12:00:00,60,40,40.0,Card,YES,Visitor
77,Zone-C,Bike,2024-05-22 23:00:00,15,0,0.0,upi,,Visitor
78,zone c,car,2024-03-03 06:00:00,120,40,80.0,Card,No,VISITOR
79,,Car,2024-03-04 18:00:00,60,30,30.0,UPI,,Visitor
80,zone-a,car,2024-03-21 17:00:00,15,20,5.0,UPI,YES,regular
81,,Car,2024-02-26 22:00:00,120,30,60.0,CARD,No,Regular
82,Zone-A,Car,2024-03-17 01:00:00,60,40,40.0,,No,Visitor
83,Zone A,Car,2024-05-11 22:00:00,,,30.0,Cash,Yes,Regular
84,Zone A,Bike,2024-02-12 03:00:00,0,40,0.0,,No,Visitor
85,ZONE-B,Bike,2024-07-25 07:00:00,30,,15.0,CARD,,regular
86,ZONE-B,Bike,2024-02-05 06:00:00,15,20,5.0,Cash,Y,Visitor
87,ZONE-B,car,2024-04-15 15:00:00,60,0,0.0,,YES,Visitor
88,ZONE-B,Bike,,30,40,20.0,Cash,No,Regular
89,,Bike,2024-02-10 15:00:00,30,40,20.0,UPI,No,Regular
90,zone-a,Bike,2024-06-03 04:00:00,60,30,30.0,Card,No,VISITOR
91,zone-a,Bike,2024-07-07 00:00:00,30,20,10.0,,No,Visitor
92,zone c,Car,2024-02-24 04:00:00,0,20,0.0,upi,No,Regular
93,Zone A,,2024-04-13 04:00:00,15,40,10.0,,Y,Visitor
94,Zone-C,Car,wrong_time,60,30,30.0,Cash,No,Visitor
95,,car,2024-01-28 06:00:00,30,40,20.0,Cash,Y,
96,Zone-A,Bike,2024-03-01 17:00:00,30,20,10.0,UPI,No,regular
97,zone c,Bike,2024-04-17 16:00:00,60,20,20.0,UPI,No,Visitor
98,Zone-A,Car,2024-02-24 23:00:00,15,0,0.0,UPI,N,Regular
99,ZONE-B,Bike,2024-06-05 23:00:00,30,0,0.0,Cash,No,Regular
100,ZONE-B,Bike,2024-01-22 05:00:00,60,20,20.0,upi,,Visitor
101,Zone-C,Bike,2024-02-23 13:00:00,15,40,10.0,CARD,No,Regular
102,zone c,EV,2024-06-19 23:00:00,60,0,0.0,UPI,No,
103,Zone-A,EV,2024-05-23 03:00:00,30,40,20.0,,No,Visitor
104,Zone-A,Bike,2024-06-20 15:00:00,-30,0,-0.0,upi,No,Regular
105,Zone-C,EV,2024-02-20 22:00:00,15,40,10.0,UPI,YES,VISITOR
106,Zone-C,Car,2024-07-20 10:00:00,15,30,7.5,UPI,No,Regular
107,Zone-A,Car,2024-04-24 20:00:00,30,30,15.0,Cash,Yes,Visitor
108,Zone-C,EV,2024-01-18 07:00:00,60,0,0.0,Cash,No,Visitor
109,Zone-A,Bike,2024-04-09 05:00:00,,30,30.0,Card,No,
110,ZONE-B,Bike,2024-01-24 10:00:00,15,40,10.0,UPI,No,regular
111,,Bike,2024-07-06 18:00:00,30,40,20.0,,No,Visitor
112,zone c,Bike,2024-05-24 00:00:00,15,30,7.5,UPI,No,Regular
113,Zone-C,,2024-01-03 08:00:00,30,20,10.0,UPI,Yes,Visitor
114,ZONE-B,Car,2024-03-09 17:00:00,30,30,15.0,Cash,YES,Regular
115,,Bike,2024-03-16 18:00:00,240,40,160.0,CARD,Y,
116,Zone-C,Bike,2024-05-29 16:00:00,120,,60.0,,,VISITOR
117,Zone-A,,2024-05-10 09:00:00,30,0,0.0,upi,Yes,regular
118,Zone-C,Car,2024-06-13 01:00:00,5,40,3.33,upi,No,regular
119,ZONE-B,Bike,2024-04-18 19:00:00,60,40,40.0,UPI,Yes,Visitor
120,ZONE-B,car,2024-06-13 14:00:00,5,40,3.33,Card,YES,Regular
121,ZONE-B,Bike,2024-05-18 20:00:00,5,20,1.67,UPI,No,Regular
122,Zone A,Bike,2024-01-20 23:00:00,15,20,5.0,Cash,No,Regular
123,zone-a,Bike,2024-05-26 05:00:00,60,40,40.0,Card,No,regular
124,zone c,car,2024-04-12 12:00:00,30,30,15.0,UPI,Y,VISITOR
125,Zone-C,,2024-07-26 16:00:00,120,20,40.0,UPI,Y,Visitor
126,Zone-A,Car,2024-05-02 01:00:00,15,,7.5,UPI,No,Visitor
127,zone c,car,2024-02-05 15:00:00,30,30,15.0,UPI,Yes,Regular
128,zone c,Bike,2024-05-19 03:00:00,15,20,5.0,upi,No,Visitor
129,Zone-C,Bike,2024-04-21 16:00:00,30,30,15.0,Card,Yes,Visitor
130,zone-a,,2024-06-09 03:00:00,15,40,10.0,Cash,No,Visitor
131,Zone A,Car,2024-03-08 18:00:00,0,20,0.0,Cash,N,Regular
132,zone-a,CAR,2024-04-08 11:00:00,240,40,160.0,upi,N,regular
133,,Bike,2024-06-20 19:00:00,-30,40,-20.0,,Yes,Visitor
134,,car,2024-03-30 16:00:00,5,20,1.67,UPI,Yes,VISITOR
135,Zone-C,,2024-06-20 04:00:00,60,,30.0,Cash,YES,Visitor
136,Zone-A,Bike,2024-05-27 18:00:00,30,20,10.0,,Yes,Visitor
137,Zone-A,Bike,2024-03-19 04:00:00,60,40,40.0,Cash,No,regular
138,Zone A,Car,,120,30,60.0,Card,No,Regular
139,Zone-A,car,,30,0,0.0,Card,,Visitor
140,ZONE-B,Car,2024-05-25 07:00:00,-30,30,-15.0,,Y,Regular
141,zone-a,Car,2024-04-29 05:00:00,120,30,60.0,CARD,Yes,Regular
